ID,CaseNumber,Date,Block,IUCR,PrimaryType,Description,LocationDescription,Arrest,Domestic,Beat,District,Ward,CommunityArea,FBICode,XCoordinate,YCoordinate,Year,UpdatedOn,Latitude,Longitude,Location
11368323,JB333735,07-03-2018 15:11,025XX N ELSTON AVE,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,TRUE,FALSE,1432,14,1,22,6,1161467,1917112,2018,07-10-2018 16:03,41.92823582,-87.68208415,"(41.928235818, -87.682084152)"
11368328,JB333970,07-03-2018 16:42,009XX E 133RD ST,2023,NARCOTICS,POSS: HEROIN(BRN/TAN),STREET,TRUE,FALSE,533,5,9,54,18,1185316,1817293,2018,07-10-2018 16:03,41.65379389,-87.59758781,"(41.653793893, -87.597587809)"
11368330,JB333879,07-03-2018 16:28,062XX S ST LAWRENCE AVE,820,THEFT,$500 AND UNDER,APARTMENT,TRUE,FALSE,313,3,20,42,6,1181309,1863724,2018,07-10-2018 16:03,41.7812993,-87.61082348,"(41.781299301, -87.610823483)"
11368337,JB333812,07-03-2018 15:54,001XX S HALSTED ST,860,THEFT,RETAIL THEFT,DRUG STORE,TRUE,FALSE,1232,12,27,28,6,1171070,1899648,2018,07-10-2018 16:03,41.88010804,-87.64730998,"(41.880108035, -87.647309981)"
11368338,JB334031,07-03-2018 17:54,008XX W NORTH AVE,860,THEFT,RETAIL THEFT,DEPARTMENT STORE,TRUE,FALSE,1822,18,43,8,6,1170635,1910871,2018,07-10-2018 16:03,41.91091418,-87.64857834,"(41.910914175, -87.648578343)"
11368339,JB334044,07-03-2018 17:00,068XX S WASHTENAW AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,TRUE,TRUE,831,8,15,66,08B,1159557,1859120,2018,07-10-2018 16:03,41.76913913,-87.69069742,"(41.76913913, -87.690697418)"
11368358,JB334116,07-03-2018 18:45,063XX S RACINE AVE,2028,NARCOTICS,POSS: SYNTHETIC DRUGS,SIDEWALK,TRUE,FALSE,724,7,16,68,18,1169407,1862778,2018,07-10-2018 16:03,41.7789695,-87.65448608,"(41.778969503, -87.654486077)"
11368363,JB334113,07-03-2018 07:00,032XX W OHIO ST,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,TRUE,TRUE,1121,11,27,23,26,1154709,1903816,2018,07-10-2018 16:03,41.8918886,-87.70727407,"(41.891888601, -87.707274069)"
11368380,JB334128,07-03-2018 18:35,051XX S DR MARTIN LUTHER KING JR DR,2017,NARCOTICS,MANU/DELIVER:CRACK,SIDEWALK,TRUE,FALSE,231,2,3,40,18,1179795,1871122,2018,07-10-2018 16:03,41.80163488,-87.61614783,"(41.801634875, -87.616147829)"
11368395,JB334106,07-03-2018 18:24,032XX W 16TH ST,2024,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,TRUE,FALSE,1022,10,24,29,18,1154842,1891855,2018,07-10-2018 16:03,41.85906371,-87.70710612,"(41.859063712, -87.707106115)"
